"rt","recall","stimuli","accuracy","set_size","trial_type","trial_index","time_elapsed","internal_node_id","stimulus"
"1621","","","1","","html-button-operationspan","263","415817","0.0-9.0-0.10-1.57","<div style=""font-size:46px;"">9 + 2 = 11<br><br><br><br></div>"
"2043","","","1","","html-button-operationspan","266","418869","0.0-9.0-0.10-1.58","<div style=""font-size:46px;"">8 - 5 = 3<br><br><br><br></div>"
"5887","K,L,V,Q,P,R","K,L,F,V,Q,P,R","2","7","operation-span-recall","268","424764","0.0-9.0-1.10",""
"3014","","","1","","html-button-operationspan","271","432152","0.0-9.0-0.11-1.59","<div style=""font-size:46px;"">9 - 6 = 4<br><br><br><br></div>"
"1821","","","1","","html-button-operationspan","274","434987","0.0-9.0-0.11-1.60","<div style=""font-size:46px;"">4 + 7 = 9<br><br><br><br></div>"
"1279","","","1","","html-button-operationspan","277","437274","0.0-9.0-0.11-1.61","<div style=""font-size:46px;"">8 + 5 = 13<br><br><br><br></div>"
"2223","","","1","","html-button-operationspan","280","440507","0.0-9.0-0.11-1.62","<div style=""font-size:46px;"">10 - 1 = 9<br><br><br><br></div>"
"2231","","","1","","html-button-operationspan","283","443746","0.0-9.0-0.11-1.63","<div style=""font-size:46px;"">4 + 10 = 14<br><br><br><br></div>"
"2033","","","1","","html-button-operationspan","286","446784","0.0-9.0-0.11-1.64","<div style=""font-size:46px;"">4 + 10 = 14<br><br><br><br></div>"
"2588","","","1","","html-button-operationspan","289","450384","0.0-9.0-0.11-1.65","<div style=""font-size:46px;"">9 + 8 = 17<br><br><br><br></div>"
"8156","H,P,F,J,Q,V,T","H,P,F,J,Q,V,T","7","7","operation-span-recall","291","458546","0.0-9.0-1.11",""
